
2026/02/27 (22:08:35) | ===> btop++ v.1.3.0
2026/02/27 (22:08:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/02/27 (22:08:55) | ===> btop++ v.1.3.0
2026/02/27 (22:08:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/02/27 (22:09:27) | ===> btop++ v.1.3.0
2026/02/27 (22:09:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/02/27 (22:09:30) | ===> btop++ v.1.3.0
2026/02/27 (22:09:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/02/27 (22:16:15) | ===> btop++ v.1.3.0
2026/02/27 (22:16:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/02/27 (22:16:36) | ===> btop++ v.1.3.0
2026/02/27 (22:16:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported
